Channel ID,Channel Name,Description,View,Num Subscriber,Topic,Num Video
UCNSqBI25AW9CQmihX9AgjWA,NH4T Media Music,"NH4T Media Music - Thuộc hệ thống NH4T Entertainment, Euphoria Music Vietnam

© Bản Quyền Thuộc Về NH4T Entertainment, Euphoria Music Vietnam
© Mọi thông tin bản quyền hay khiếu nại liên hệ: Nhat.pd@euphoriamedia.com
",123847437,281000,"['Electronic_music', 'Music', 'Pop_music']",1045
UCTPioC8tmJMcpdB-XKMch4Q,music meets heaven,"• music meets heaven • ""...apart from You I have no good thing""

""Music Meets Heaven started as a project to discover and promote Christian Music. As of the unexpected success, it has now become part of my day to day life to search for new good music, reach out to artists and labels and most importantly create visually pleasing videos for you to enjoy.

Each upload has undergone a tedious process to ensure only the best quality. Besides providing a platform where you can find new songs and connect with other believers it has become my passion to create outstanding visual material with the recent focus on capturing the beauty of the Holy Land.
I hope you get blessed through music meets heaven & enjoy your stay""

~ Jonathan, founder of music meets heaven


✘Support us
☁ https://www.patreon.com/musicmeetsheaven

❖For any questions/requests
musicmeetsheaven@gmail.com

Submit Your Songs over here!
https://www.submithub.com/blog/music-meets-heaven",595288241,1600000,"['Music', 'Christian_music']",673
UCeGJ6v6KQt0s88hGKMfybuw,Cozy Jazz Music,"''Welcome to Cozy Jazz''

We hope our music can give you some space to stay optimistic in life. Release all negative thoughts and just relax to keep creating! From now on, your life will only be filled with your emotions.

Thanks and have a nice day

Copyright © & FAQ
• Images used in the video are free images or images used after purchasing the copyright.
• All music produced and distributed by Cozy Jazz Music
• Any copying, duplication or partial use is strictly prohibited. Please respect the copyright and owner.
",37412649,108000,"['Music', 'Jazz', 'Music_of_Latin_America']",985
UCBq5hp6DvwWam2XOXw6lYJA,Awakening Music,"Awakening Music is a pioneering and dynamic record label headquartered in London with offices in California and Cairo. Awakening introduced to the world global music sensations – the likes of Sami Yusuf, Maher Zain and Harris J. We produce faith inspired and values driven content. Our songs and music videos on Youtube and other digital platforms have been enjoyed by billions across the world.  
 
Awakening Music manages and represents Maher Zain (Sweden), Mesut Kurtis (Macedonia), Raef (USA),  Humood Alkhudher (Kuwait) and Ali Magrebi (Libya). Previously Sami Yusuf, Harris J, and Hamza Namira among others.",5817626294,13900000,['Music'],894
UC4-GkhTRsl3ZgMZtKqYYi3Q,McCann Dogs Music,"This channel has one purpose. To make music for dogs. We want to be able to make just the right music for dogs to go to sleep, music for dogs to relax while you're away, and music for dogs to be calmer during a thunderstorm. We plan on making music to suit your needs as they come up!",126677,3840,"['Pet', 'Lifestyle_(sociology)', 'Music']",28
UCUP8j13UpKfJJ3xyUD_uRCA,HIDO MUSIC,HiDo Music - Kênh ca nhạc cho giới trẻ,13217391,110000,"['Electronic_music', 'Music', 'Music_of_Asia']",155
UCGymn1uw0YKH8CjT6nJ8RxQ,YukinoZ Music,"Hello everyone, I am Yukino

If you come by, you can support me to hear many new music videos and I hope you have a great time on my channel, have a nice day.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

You think Forever and Eternity are the same thing. Because you never get it.
",2303125,5150,"['Music_of_Asia', 'Pop_music', 'Electronic_music', 'Music']",508
UCg0nKWXJ8qb_BVgPgxDxk_g, JW Music ♪,"wanna listen to some tunes ? watch anime :))))
______________________________________

→ JW Music is a channel makes lyrics and vietsub video.
→ I dont own the music used in this video
→ All the rights belong to the owner(s)
→ if you are an artist/musician/organization realizing the songs posted on my channel related to copyright issues, please contracts with me → hoangjewel270706@gmail.com

______________________________________

THANKS FOR YOUR SUPPORT !

_______________________________________________________________________

muốn nghe nhạc không ? xem anime đi :))))
______________________________________

→ JW Music là kênh chỉ làm về video lyrics và vietsub
→ Mình không sở hữu bài hát nào trong video
→ Mọi quyền lợi sẽ thuộc về chủ sở hữu
→ Nếu bạn là nghệ sĩ/nhạc sĩ/tổ chức thấy rằng những bài hát mình đăng lên kênh của mình có vấn đề về bản quyền thì hãy liên lạc với mình → hoangjewel270706@gmail.com

______________________________________

CẢM ƠN SỰ ỦNG HỘ CỦA CÁC BẠN !





",27787277,66700,"['Pop_music', 'Music', 'Independent_music']",28
UCJV4dvSN1E08gC2-HU1ppyA,KOY Music Group,Kênh âm nhạc thư giãn mỗi ngày!,54411724,104000,"['Electronic_music', 'Music', 'Pop_music']",108
UC2fVSthyWxWSjsiEAHPzriQ,Mr_MoMo Music,"Hey there! I am Mr MoMo

My channel focus on Japanese samurai-styled music: from relaxing, calm, chill instrumental lo-fi to powerful, overwhelming drifting phonk, trap & bass beats. I mindfully select and prepare the very best music mixes. Hope that you will enjoy the music while studying/relaxing/coding/sleeping or just chilling.

Please Subscribe to my channel and Turn on notification for fastest access to my new weekly uploads. Most of the time new videos will be available on Tuesday and Friday, sometimes I still miss it as I need to perfectly adjust the sound.

Let's join our family and spread our spirit!
_ _ _
If you have any requests or questions, please reach me at offerlike123@gmail.com

",184202408,739000,"['Hip_hop_music', 'Music', 'Electronic_music']",396
UCq8XvH3qOrCudk1lCVpCqTQ,HƯƠNG LY MUSIC,"Chào mọi người, mình là Hương Ly 😍😍😍 !
Mình là một bà mẹ bỉm sữa bán quần áo có đam mê ca hát. Cảm ơn các bạn đã ủng hộ các sản phẩm cover của mình. Nếu bạn muốn nghe bản cover nào hãy inbox cho mình nhé.

Contact for work:

Email:   huongly.booking@gmail.com
❤️ 
Nguyễn Hương Ly 
Facebook Cá Nhân: https://www.facebook.com/huongly.nguyen.5
Fanpage: https://www.facebook.com/nguyenhuonglyofficial 
Instagram: https://www.instagram.com/nguyenhuongly.official
TikTok: https://www.tiktok.com/@lyty1910

Cảm ơn mọi người đã ghé thăm kênh Youtube của Ly, mọi người nhớ ủng hộ Ly bằng một Subscribe nhaaaa. Cảm ơn cả nhà nhìu nhìu ^^ ❤️❤️❤️
",38756789,128000,"['Music_of_Asia', 'Music']",841
UCd2DbVRQIlp52-b-zKyhwHQ,Xu Nghe Music,"Xu Nghe Music là kênh nhạc Dân ca Xứ Nghệ hay nhất 2023 với những giọng ca hay, ấn tượng hát về con người quê hương đất nước Xứ Nghệ nghe thấm đượm tình quê.

Đăng Ký Theo Dõi Kênh: https://www.youtube.com/channel/UCd2DbVRQIlp52-b-zKyhwHQ?sub_confirmation=1
Dân Ca Xứ Nghệ Hay Nhất: https://www.youtube.com/watch?v=rGEFBudgQoE&list=PLc_ZLT_ccdOA-HY4Evns_McesPl_P-hPz
",32229146,87500,"['Music', 'Music_of_Asia']",643
UCyKs4L4EULCfySbTybA9bAg,Music Brokers,"Music Brokers is the channel for extended playlists featuring your favorite versions of today's best music. Whether it's reggae, bossa or jazz covers, we represent the artists who love to give a new spin to contemporary classics. While we are best known for our first hits such as Bossa n' Stones and Jazz and '80s, our producers continue to release smooth and sultry covers with excellent musical arrangements such as the VIntage Café series and Jazz Sexiest Ladies, both well loved brands. We've developed a sound that is ideal for providing places of business such as restaurants, hotels, clubs, spas and shopping centers with soundtracks that evoke the warm sands of Brazil or Jamaica and the voices of our world famous vocalists, such as Karen Souza or Ituana. Welcome to the place where you'll always find the best tunes to keep you company, at work, in the gym or in the car.",802131384,1410000,"['Electronic_music', 'Music_of_Latin_America', 'Pop_music', 'Music', 'Jazz', 'Reggae']",2660
UCwVQIkAtyZzQSA-OY1rsGig,Chill Music Lab,"Choose the soundtrack for your most productive self

Music Lab was created to shed some light on how the music is made, educate and help people on how to navigate the intricacies of popular genres and how they can affect various activities. On this channel, we have a wide variety of playlists suited for all kinds of everyday tasks: work, studies, programming, sports and more. We want to popularize music that will have a beneficial effect on productivity.

We also collaborate with independent artists and labels within the USA and around the world. Many composers and producers are often unfairly overlooked and we strive to promote such artists by exposing their work to the widest possible audience.

For collaborations, business inquiries and licensing please contact us via the email below.

Don't forget to check our website: https://musiclab.cloud
",162871767,1070000,"['Electronic_music', 'Music']",295
UCnFgq4Ara6A2a_8kpTvivLQ,Nogastic Music,,30421402,435000,"['Pop_music', 'Electronic_music', 'Music', 'Music_of_Latin_America']",270
UCJhjE7wbdYAae1G25m0tHAA,Cafe Music BGM channel,"☕ About Cafe Music BGM channel
Welcome to our Cafe Music channel, your source for 'Everyday Music'. Perfect for relaxation, work, or study, our tunes will transform your daily rhythm. Subscribe now, and let us infuse your life with cafe ambiance, making ordinary moments extraordinary.
* All music in this video & in this channel is original music by BGMC. We are playing all the songs.


📜 What is BGMC?
Morning.
Gentle light that shines through the blinds
One glass of water after waking up
The tender breeze from the window that we feel with all our body

These things are too ordinary in everyday life to be conscious.
But we can't live even if one of them is missing.
""BGMC - BGM channel"" has been providing music, hoping to be like them.

Though it is colorless and transparent, we want to make the listener's daily life as colorful as possible.
That is the essence of the music we deliver.

Light, water, wind, and BGMC
A new value for music.",1378425669,3770000,"['Music_of_Latin_America', 'Music', 'Jazz']",2266
UCQGxATbsTxI-rwWsDNYFVKg,Music Passionate,"welcome to my channel where you can find the best Music that fits your Audio System
Don't forget to Subscribe & LIKE !



122 Herndon Mill Cir, # CL
Herndon, VA 20170-4478
United States
+1 703-481-6609",1783820,33800,"['Pop_music', 'Music', 'Jazz']",113
UCMXo-OZdxSWVXXvY072b_cQ,Nhật Lê Music,"Nhật Lê Music

",48638521,55700,"['Entertainment', 'Film']",265
UChW8_rGquhEVt05v9A4a5Aw,Love Music,"✔ Welcome to my channel!
✔ I find music as therapeutic and my channel offers a great and romantic collection of love songs from 70's 80's and 90's. So, Stay tuned, relax and feel the love of my masterpiece.
✔ Thanks for watching my video!
✔ Share my channel on social pages (Facebook, Google +, Twitter etc.) so that more people can listen and have fun!
✔ Don't forget to subscribe to channels to receive notifications about the latest videos.
✔ Contact : hoangdinhbien93@gmail.com
",156523781,901000,"['Christian_music', 'Music', 'Pop_music', 'Music_of_Asia']",169
UCTFhHkqYWL-hHkNr7vKbOhQ,Zen Music,"Zen Music with a diverse range of content spanning from binaural beats and brainwave entrainment to meditation music and healing frequencies, this channel offers something for everyone. Whether you're looking to unwind after a long day, improve your focus and concentration, or deepen your meditation practice, this channel has got you covered.

Each video on this channel features high-quality audio paired with visually stunning backgrounds, designed to transport you to a state of deep relaxation and healing. From peaceful nature scenes to serene landscapes, the visuals add an extra layer of immersion, making it easier to let go of stress and tension.

So whether you're a seasoned meditator or simply looking to improve your overall well-being, this channel is the perfect place to explore the transformative power of music and sound. Subscribe today and start your journey towards greater relaxation, focus, and inner peace.

🌞 Para contactar y enviar música: relaxmusic@sevenzone.us
",12795788,136000,"['Electronic_music', 'Music']",394
UCS89Bl1RIbvK6VkrveG0nNw,Furman University Music,,63949,876,"['Classical_music', 'Entertainment', 'Performing_arts', 'Music', 'Lifestyle_(sociology)']",289
UCdy5gC2jwAxTJlHN5tJEkXA,DJ TCT MUSIC OFFICIAL,"DJ TCT MUSIC tên thật là Tạ Công Tùng đến từ Hà Nội, bắt đầu theo đuổi đam mê từ năm 2012 với sở trường là dòng nhạc Vinahouse. Cùng với cách dẫn dắt nhạc lôi cuốn và kinh nghiệm lâu năm, TCT đang là một địa điểm cung cấp nhạc bay uy tín đối với người yêu nhạc khắp cả nước.
Liên hệ công việc: 0971345286",58579904,185000,"['Music', 'Electronic_music', 'Pop_music']",196
UCfVJ_-zdASq6HR-ocI8yTww,Music for Body and Spirit - Meditation Music,"Music for Body and Spirit - Meditation Music comes from professional musicians who have decided to use their skills for the production of music for the spirit.

We chose spiritual music because we believe in its power on body and spirit.

In the channel you can find music to practice Reiki, Meditation, Yoga. Furthermore, tracks for  Relaxation, Sleeping, and compositions with Binaural Beats. 

We underline that our music cannot cure a health condition nor does it want to replace the advice of a doctor or health care provider. Moreover, never listen to our music whilst driving or operating machinery of any kind.

Enjoy your listening!

℗ 2014 - 2024 Music for Body and Spirit – Meditation Music All rights reserved.

Our music is not currently licensed for commercial and non-commercial use.    
Anyway you can find free download tracks on our website 
https://www.musicforbodyandspirit.com/free-download/ 

Email: info@musicforbodyandspirit.com",698521579,3930000,"['Electronic_music', 'Lifestyle_(sociology)', 'Health', 'Music']",1946
UC2BDs0pu-C1A4POY0g9rZxw,Relax My Dog - Relaxing Music for Dogs,"RelaxMyDog specialises in music and TV designed to help any dog breed with a variety of problems including separation anxiety, sleep problems, loneliness, boredom and depression. Our music and TV is produced and created in-house by a team of experts aiming to help as many dogs as possible reduce anxiety and sleep issues. Wondering how to calm my dog? Give our music and TV and try!

We have helped over 6 million dogs worldwide with anxiety problems, sleep problems, depression and loneliness and are excited to help millions more using:

• Relaxing Music Therapy
• Entertaining and Stimulating TV
• Advice, DIY and How-To Vlogs",724765116,1960000,"['Lifestyle_(sociology)', 'Pet']",2242
UClxMX3CtmAbIlGvITbEgtCA,9C Music,"Kênh Tổng Hợp Những Nhạc Hot Nhất Hiện Nay
★ Nếu bạn thấy hay thì Like & Subcribes và Ấn chuông 🔔 thông báo để không bỏ lỡ video mới!

★ CHÚC CÁC BẠN NGHE NHẠC VUI VẺ ★

✉ Hợp tác, quảng cáo, khiếu nại các vấn đề về bản quyền:
► Phát Hành Âm Nhạc Số, Sản Xuất Âm Nhạc Độc Quyền Tại 9C Media.
► Nhận Làm Beat, Remixes,... Hợp Tác Sản Phẩm Tác Quyền.
►  Bản quyền thuộc về 9C Media & Các Bên Liên Quan Vui lòng không đăng tải ca khúc này khi chưa được cấp tác quyền. LH Bản Quyền : Contact@9cmedia.net

© Bản quyền video thuộc về 9C Music
© Copyright by 9C Music & 9C Media ☞ Do not Reup
",7653181,142000,"['Electronic_music', 'Music', 'Pop_music']",141
UCpHhPOfjPC1Z5iVHTU_3mVg,HL Media Music,"Công ty truyền thông giải trí âm nhạc Việt Nam : HL Media Music
FanLink : https://www.youtube.com/@hlmediainc
◼Contact :
►Email: admin@hlmedia.vn
►Truy cập Website : https://hlmedia.vn/
ⓒ Bản quyền thuộc HL Media.
ⓒ HL Media Music Group, All Rights Reserved.
Vui lòng không sao chép dưới mọi hình thức!
",13039629,21300,"['Music_of_Asia', 'Music']",561
UClxBDZMTR0FLfWO9aCBblyg,Trends Music TikTok,"★ Kênh Trends Music TikTok Chuyên Tổng Hợp Cập Nhật Những Bản Nhạc HOT TikTok Hằng Ngày 🔥
★ Nếu bạn thấy hay thì Like & Subcribes và Ấn chuông 🔔 thông báo để không bỏ lỡ video mới!
★ Cám Ơn Tất Cả Mọi Người Đã Quan Tâm Và Theo Dõi! 
★ Giúp Mình Đạt 50.000 lượt đăng ký nhé ❤️❤️❤️

★ CHÚC CÁC BẠN NGHE NHẠC VUI VẺ ★
",14510604,66300,"['Video_game_culture', 'Action-adventure_game', 'Electronic_music', 'Music', 'Pop_music']",304
UCz9_4daWw-uWuqeB6_IkhMg,Dreamhop Music,"Dreamhop Music is a Record Label promoting lofi and chill hiphop beats.  We're a community of passionate artists working hand in hand to create the best chill vibes. :)

- Submit tracks (Spotify playlists and Youtube livestream) → https://ko-fi.com/dreamhop
- Discord → https://discord.gg/FxF9kng
- Email (not for submissions) →  contact@studiodreamhop.com


COPYRIGHT © & FAQ
• This video was given a special license directly from the artist's visual.
• All music on Dreamhop Music are copyrighted.",47202053,212000,"['Music', 'Electronic_music']",369
UCmk1rFqvFfPNEPRpcBGYLWg,Accord Electronic Music,"👋 Welcome to the Accord Electronic Music channel 👋

➡️ Accord Electronic Music channel is a fantastic place for you to find energetic and lively music suitable for parties and gatherings. We take pride in providing you with dance, EDM, Pop, Hip-hop, and Various other genres of music that guarantee a fun and dynamic experience ⬅️

🔔 We aspire for the Accord Electronic Music channel to become your favorite destination, where you can find suitable music for every occasion and bring joy to your daily life. Don't forget to hit the ""Subscribe"" button to never miss any new music videos or special events on our channel 🔔

✴️ Together, let's embrace the lively rhythms and make each party an unforgettable experience ✴️

✪ Contact name: informoonstudio.sunnymedia@gmail.com

",5578409,22100,"['Electronic_music', 'Music', 'Pop_music']",189
UCsqfU7_IxDNkDZRfQ7Vs2jg,T00n Music,"T00n | Hip-hop Music Producer in Saigon, Vietnam


",674267,6720,"['Electronic_music', 'Pop_music', 'Hip_hop_music', 'Music']",79
UCJrmJyCii8wxixz0FkKrArg,Guitar Music,"Welcome to the guitar music library!
",58088218,426000,"['Classical_music', 'Music']",139
UCKCzhWD9rOF74RbOnWXEj9w,Deluxe Music,"Orinn Music là đội ngũ sản xuất những dự án âm nhạc hàng đầu Việt Nam.

Nắm bắt được xu hướng nghe nhạc hiện nay, Orinn có thể hỗ trợ nghệ sĩ remake lại những giai điệu gốc để cho ra mắt một phiên bản mới viral hơn, trending hơn trên Facebook, Tiktok và Youtube.

Với hệ thống về âm nhạc hàng đầu tại Việt Nam, Orinn hi vọng đem đến sự tươi mới trong âm nhạc cho nghệ sĩ và khán giả nghe nhạc.

Mọi thông tin liên hệ tại: contact@orinn.net
",28961045,83800,"['Electronic_music', 'Music', 'Pop_music']",463
UCMxCwD8bLI6bYCJ1tfKjrjQ,Super Music Mix,,4452682,25100,"['Electronic_music', 'Pop_music', 'Hip_hop_music', 'Music']",154
UCH-WdqIUg65rIxyrXXBdNpg,LV MUSIC,"Võ Thành Luân
———————————————————-
• Zalo: 0365060657
• Gmail: lv.contact.404@gmail.com",9448395,15700,"['Pop_music', 'Electronic_music', 'Music']",89
UCAJZAYpfUioh7M8uV8stfHg,SEA Music,,1123968,9530,"['Electronic_music', 'Music', 'Pop_music']",144
UCkD0c5xbBXlNKQR07NZfb-w,Cats Love Music,"Cats Love Music is a music channel for pets 😻

Cats Love Music specializes in piano music, soft and soothing sounds, cat meows, harp sounds, and more. With cat videos designed to help people with a variety of issues including stress, trouble sleeping, loneliness, boredom, and depression by using:

• Relaxing Music Therapy
• Cats Videos
• Advice and Comforting comment

In addition, this music helps cats to become calm, reduce anxiety and stress when alone at home, soothe anxiety and insecurity for cats, relax when being with owners.

Please enjoy music with your cat!

Best wishes,
Cats Love Music
",12267271,30700,"['Music', 'Pet', 'Lifestyle_(sociology)']",506
UClandjXt3mu7WdDyTzI8dGQ,Legend Music Radio,"Legend Music Radio

Deep House Mix | Best Of Vocal House Music
Avicii, Maroon 5, Selena Gomez, Alan Walker, Miley Cyrus, Ellie Goulding ⛅️ Summer Vibes Deep House
Summer Music Mix 2023 🎶 Best Of Vocals Deep House 🎶 David Guetta, Rema, Alan Walker, Miley Cyrus
IBIZA SUMMER MIX 2023 ↠ Dubai, Bali, Greece, Iceland, Paradise 🌴 SUMMER MIX
IBIZA SUMMER MIX 2023 🐬 Best Of Tropical Deep House Music Chill Out Mix 🐬 Summer Mix 2023
Mega Hits 2023 🌱 The Best Of Vocal Deep House Music Mix 2023 🌱 Summer Music Mix 2023
Avicii, Maroon 5, Coldplay, Ellie Goulding, Selena Gomez Cover ⛅ Summer Vibes Deep House Mix

",17677117,21800,"['Electronic_music', 'Music', 'Pop_music']",208
